HEADER
VTF File Version,1.1
VTF File Type,0
PID,2081276
Generated on,2026-06-29 22:49:25
Resolution,ms
Min Resolution,ns
Trace Version,1.1
TraceID,2081279

STRUCTURE
Group_Start,User and Internal Events
Dynamic_Row,1,General,User Events from APIs and Internally Generated Events
Group_End,User and Internal Events

MAPPING
1366,0:13:94901701378016
1372,0:13:94901701424704
1368,0:13:94901701490784
1369,0:13:94901701686464
754,0:13:94901701763040
2744,0:13:94901701890000
2001,0:13:94901701945456
1370,0:13:94901702067984
584,0:13:94901702172640
3241,0:13:94901702270928
2086,0:13:94901702340384
2311,0:13:94901702373344
1373,0:13:94901702406112
472,0:13:94901702524896
1379,0:13:94901702538784
2144,0:13:94901702554880
1374,0:13:94901702737616
2116,0:13:94901702850240
2118,0:13:94901702850704
2585,0:13:94901702942672
1378,0:13:94901702950048
740,0:13:94901703000032
1376,0:13:94901703282224
509,0:13:94901703335904
2787,0:13:94901703368656
1377,0:13:94901703415728
2477,0:13:94901703528400
1961,0:13:94901703599584
1380,0:13:94901703731200
637,0:13:94901703786464
565,0:13:94901703805984
2253,0:13:94901703834576
3813,0:13:94901703843792
4153,0:13:94901703966672
3132,0:13:94901703999440
822,0:13:94901704087552
1381,0:13:94901704234144
2002,0:13:94901704279248
2386,0:13:94901704424976
1856,0:13:94901704451104
3692,0:13:94901704462288
2185,0:13:94901704523744
1383,0:13:94901704932288
2190,0:13:94901705069984
1736,0:13:94901705582544
574,0:13:94901705619872
500,0:13:94901705699296
1386,0:13:94901705748448
2447,0:13:94901705780560
2448,0:13:94901705781024
4759,0:13:94901705785296
540,0:13:94901705830368
1387,0:13:94901706051360
450,0:13:94901706133472
1388,0:13:94901706172160
1389,0:13:94901706252256
2756,0:13:94901706768336
1392,0:13:94901706966384
1391,0:13:94901706966416
1897,0:13:94901707017104
486,0:13:94901707100128
1959,0:13:94901707195376
1768,0:13:94901707274144
1393,0:13:94901707332224
4340,0:13:94901707395024
621,0:13:94901707451568
1737,0:13:94901707610512
1395,0:13:94901707693216
4046,0:13:94901707767760
1874,0:13:94901707870176
2986,0:13:94901707915216
659,0:13:94901707999760
2743,0:13:94901708091344
2087,0:13:94901708165088
1397,0:13:94901708267056
281,0:13:94901708296160
3795,0:13:94901708390352
1848,0:13:94901708455904
1400,0:13:94901708508896
545,0:13:94901708611552
4091,0:13:94901708627920
1735,0:13:94901708636128
1399,0:13:94901708641936
1402,0:13:94901708771296
710,0:13:94901708976096
