Target device: xilinx_u50_gen3x16_xdma_base_5-0
timestamp,12v_aux_curr,12v_aux_vol,12v_pex_curr,12v_pex_vol,vccint_curr,vccint_vol,3v3_pex_curr,3v3_pex_vol,cage_temp0,cage_temp1,cage_temp2,cage_temp3,dimm_temp0,dimm_temp1,dimm_temp2,dimm_temp3,fan_temp,fpga_temp,hbm_temp,se98_temp0,se98_temp1,se98_temp2,vccint_temp,fan_rpm
7098.87,0,0,1592,12010,9100,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,47,45,0,57,0,
7137.82,0,0,1592,12010,9100,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,47,45,0,57,0,
7176.43,0,0,1592,12010,9100,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,47,45,0,57,0,
7215.31,0,0,1592,12010,9100,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,47,45,0,57,0,
7254.3,0,0,1592,12010,9100,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,47,45,0,57,0,
7292.89,0,0,1592,12010,9100,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,47,45,0,57,0,
7332.97,0,0,1592,12010,9100,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,47,45,0,57,0,
7371.95,0,0,1592,12010,9100,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,47,45,0,57,0,
7410.54,0,0,1592,12010,9100,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,47,45,0,57,0,
7449.5,0,0,1592,12010,9100,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,47,45,0,57,0,
7489.68,0,0,1592,12012,9000,849,577,3345,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
7528.79,0,0,1592,12012,9000,849,577,3345,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
7567.36,0,0,1592,12012,9000,849,577,3345,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
7606.25,0,0,1592,12012,9000,849,577,3345,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
7645.28,0,0,1592,12012,9000,849,577,3345,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
7683.91,0,0,1592,12012,9000,849,577,3345,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
7722.84,0,0,1592,12012,9000,849,577,3345,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
7761.53,0,0,1592,12012,9000,849,577,3345,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
7800.52,0,0,1592,12012,9000,849,577,3345,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
7839.21,0,0,1592,12012,9000,849,577,3345,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
7877.82,0,0,1592,12012,9000,849,577,3345,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
7916.6,0,0,1592,12012,9000,849,577,3345,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
7955.32,0,0,1592,12012,9000,849,577,3345,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
7994.39,0,0,1592,12012,9000,849,577,3345,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
8033.18,0,0,1592,12012,9000,849,577,3345,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
8071.63,0,0,1592,12012,9000,849,577,3345,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
8109.87,0,0,1592,12012,9000,849,577,3345,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
8148.72,0,0,1592,12012,9000,849,577,3345,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
8187.35,0,0,1592,12012,9000,849,577,3345,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
8226.2,0,0,1592,12012,9000,849,577,3345,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
8265.12,0,0,1592,12012,9000,849,577,3345,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
8303.56,0,0,1592,12012,9000,849,577,3345,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
8344.54,0,0,1592,12012,9000,849,577,3345,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
8383.11,0,0,1592,12012,9000,849,577,3345,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
