backend,batch_size,graphs_in_batch,sample,N_total,E_total,h2d_ms,prep_ms,graph_ms,forward_ms,d2h_ms,compute_ms,transfer_ms,e2e_ms,compute_ms_per_graph,transfer_ms_per_graph,e2e_ms_per_graph,graphs_per_s,nodes_per_s
gpu_eager,1,1,83,25,62,0.0322559997439384,0.2377279996871948,0.2928319871425628,1.2840960025787354,0.0404159985482692,1.5218240022659302,0.0726719982922077,1.594496000558138,1.5218240022659302,0.0726719982922077,1.594496000558138,627.157421310533,15678.935532763326
gpu_eager,1,1,84,27,146,0.0334080010652542,0.2355200052261352,0.2905600070953369,1.282047986984253,0.0405439995229244,1.5175679922103882,0.0739520005881786,1.5915199927985668,1.5175679922103882,0.0739520005881786,1.5915199927985668,628.3301526370248,16964.91412119967
gpu_eager,1,1,85,25,56,0.0324160009622573,0.2352959960699081,0.2949120104312897,1.2799999713897705,0.0407360009849071,1.5152959674596786,0.0731520019471645,1.5884479694068432,1.5152959674596786,0.0731520019471645,1.5884479694068432,629.5453293150163,15738.633232875409
gpu_eager,1,1,86,41,336,0.0333120003342628,0.2385919988155365,0.3010559976100921,1.2789759635925293,0.0407040007412433,1.5175679624080658,0.0740160010755062,1.591583963483572,1.5175679624080658,0.0740160010755062,1.591583963483572,628.304898103682,25760.50082225096
gpu_eager,1,1,87,40,230,0.0339200012385845,0.2346239984035492,0.2928319871425628,1.2728320360183716,0.0413439981639385,1.5074560344219208,0.075263999402523,1.5827200338244438,1.5074560344219208,0.075263999402523,1.5827200338244438,631.823682413134,25272.94729652536
gpu_eager,1,1,88,53,450,0.0343680009245872,0.2437119930982589,0.289792001247406,1.2759040594100952,0.0398400016129016,1.5196160525083542,0.0742080025374889,1.5938240550458431,1.5196160525083542,0.0742080025374889,1.5938240550458431,627.4218266653261,33253.35681326228
gpu_eager,1,1,89,46,236,0.0340479984879493,0.2437119930982589,0.291839987039566,1.2822400331497192,0.0406400002539157,1.5259520262479782,0.0746879987418651,1.6006400249898434,1.5259520262479782,0.0746879987418651,1.6006400249898434,624.7500902061632,28738.50414948351
gpu_eager,1,1,90,45,276,0.0351999998092651,0.2355200052261352,0.2928639948368072,1.2851200103759766,0.0406720004975795,1.5206400156021118,0.0758720003068447,1.5965120159089563,1.5206400156021118,0.0758720003068447,1.5965120159089563,626.3654704976718,28186.44617239523
gpu_eager,1,1,91,18,36,0.0333760008215904,0.2365439981222152,0.2887679934501648,1.3022719621658323,0.0403839983046054,1.5388159602880478,0.0737599991261959,1.6125759594142437,1.5388159602880478,0.0737599991261959,1.6125759594142437,620.1258267320583,11162.264881177049
gpu_eager,1,1,92,20,74,0.0329920016229152,0.234495997428894,0.2908479869365692,1.2799999713897705,0.0396800003945827,1.5144959688186646,0.072672002017498,1.5871679708361626,1.5144959688186646,0.072672002017498,1.5871679708361626,630.053036839682,12601.06073679364
gpu_eager,1,1,93,58,622,0.0351679995656013,0.2373439967632293,0.2990080118179321,1.2851200103759766,0.0408320017158985,1.522464007139206,0.0760000012814998,1.5984640084207058,1.522464007139206,0.0760000012814998,1.5984640084207058,625.6005732578286,36284.833248954055
gpu_eager,1,1,94,50,324,0.0339520014822483,0.2364799976348877,0.2917760014533996,1.2808640003204346,0.041312001645565,1.5173439979553225,0.0752640031278133,1.5926080010831356,1.5173439979553225,0.0752640031278133,1.5926080010831356,627.9009017409796,31395.045087048984
gpu_eager,1,1,95,58,474,0.0329280011355876,0.2437440007925033,0.2907840013504028,1.282047986984253,0.0412160009145736,1.5257919877767565,0.0741440020501613,1.5999359898269176,1.5257919877767565,0.0741440020501613,1.5999359898269176,625.0250049742182,36251.45028850465
gpu_eager,1,1,96,32,208,0.0329600013792514,0.2437440007925033,0.289792001247406,1.2707840204238892,0.0404159985482692,1.5145280212163923,0.0733759999275207,1.5879040211439133,1.5145280212163923,0.0733759999275207,1.5879040211439133,629.7609847222429,20152.35151111177
gpu_eager,1,1,97,35,230,0.0344320014119148,0.2375680059194564,0.291839987039566,1.2840960025787354,0.0414079986512661,1.5216640084981918,0.0758400000631809,1.5975040085613728,1.5216640084981918,0.0758400000631809,1.5975040085613728,625.9765200217224,21909.178200760285
gpu_eager,1,1,98,51,386,0.0351039990782737,0.2375680059194564,0.2887679934501648,1.2933119535446167,0.0407360009849071,1.5308799594640732,0.0758400000631809,1.606719959527254,1.5308799594640732,0.0758400000631809,1.606719959527254,622.3859945663652,31741.685722884624
